CODICEIDENTIFICATIVOFARMACIA,street,housenumber,DESCRIZIONEFARMACIA 1,DESCRIZIONEFARMACIA 2,PARTITAIVA,CAP,city,DATAINIZIOVALIDITA,lat,lng
5642,Viale L. da Vinci, 99,Farmacia Londero S.A.S,Londero Jacopo & C.,02548560305,33100,UDINE,01/01/2016,44.687423,10.633055
5649,Corso Mazzini, 24,Fornasaro  S.N.C,,00994210300,33043,CIVIDALE DEL FRIULI,01/03/2013,46.094136,13.430659
5650,VIA COLOMBO, 3,Bertuzzi Patrizia,,00996150306,33010,TREPPO GRANDE,01/01/2005,45.015236,7.483981
5658,Cia Zorutto, 6,Moneghini S.N.C,Moneghini Ferdinando,02626220301,33040,ATTIMIS,01/03/2013,46.163195,13.27411
5659,Piazza F.urli, 42,Farmacia Giordani S.A.S. Della Dr.Ssa Marianna Urli & C.,,02688480306,33010,MAGNANO IN RIVIERA,01/11/2018,46.231124,13.176902
5665,Via XXIV Maggio, 1,Gnjezda Andrea,,01517540306,33040,PREPOTTO,01/07/2017,45.827438,9.248431
5670,Piazza Garibaldi, 7,Alla Fenice Risorta Di Asquini Alessandra & C. S.A.S,,02343340309,33019,TRICESIMO,01/09/2010,46.161189,13.212349
5671,Via 3 Novembre, 1,Santorini Pietro,,01600810301,33031,BASILIANO,01/01/2005,46.016848,13.100143
5674,Piazza Libert�, 5,Farmacia Serafini Di Di Lenarda Dr. Renzo,,01681870307,33017,TARCENTO,01/07/2017,,
5675,Piazza G. Garibaldi, 112,Farma 5 S.N.C.,Matteo Mummolo & C,02663840300,33033,CODROIPO,01/03/2013,40.953035,17.303475
5676,Via Garibaldi, 9,Mareschi,,01691460305,33038,SAN DANIELE DEL FRIULI,01/03/2013,46.160775,13.011021
5683,Localit� Crosada, 5,Pascolini Sas Del Dr. Pascolini Francesco,,01119040309,33040,TORREANO,01/07/2017,46.111456,13.406646
5684,Via Cavalleria, 32,Tosolini S.N.C,G. Tosolini e R. Nadalutti,01840770307,33050,POZZUOLO DEL FRIULI,01/03/2013,45.986653,13.199259
5690,-,,D'alessandro Pierangela,,00247630304,33040,SAN LEONARDO,01/01/2005,41.255688,13.708998999999999
5693,Via B. De Rubeis, 1,Favero S.A.S Di Michele Favero E C.,,01974250308,33100,UDINE,01/07/2017,46.11888,13.140921
5704,Via del Municipio, 10,De Leidi Mariangela,,02189640309,33010,REANA DEL ROIALE,01/10/2010,46.148649,13.243691
5705,Piazza Matteotti, 5,Vitale Attilio,,02189660307,33037,PASIAN DI PRATO,01/09/2010,46.049819,13.187792
5708,Viale Volontari Della Libert�, 42/a,San Marco Del Dr. Sartori Di Borgoricco Ferruccio,,02610640308,33100,UDINE,01/07/2017,46.074212,13.234684
5710,Piazza Verdi, 18,Farmacia Stival Dr. Manuele,,02249610300,33050,MORTEGLIANO,01/11/2018,45.945272,13.172424
5714,Corso Gramsci, 18,Corradini D'elia,Alberto e Claudio Snc,02719070308,33051,AQUILEIA,01/07/2017,45.76268,13.366989
5717,Calle Annunziata, 67,All'igea,Cesare Ed Elena Spagnolo Snc,00232830307,33053,LATISANA,01/07/2017,45.7778,12.995206
5721,Piazza Libert�, 12,Godeas Alessandro E Flavio Snc,,02441650302,33050,RONCHIS,01/07/2017,,
5726,Via Gramsci, 55,Antica Farmacia Alla Madonna Della Salute S.N.C,,02720250303,33050,FIUMICELLO,01/07/2017,37.326718,14.44577
5727,Piazza Risanamento, 1,Farmacia Persolja Snc Del Dott. Adriano Persolja & C.,,02908460302,33050,MARANO LAGUNARE,01/03/2018,45.764794,13.167872
5728,PIAZZA IV NOVEMBRE, 26,Farmacia Dott. Ausilia Braidotti,,01220540304,33061,RIVIGNANO,01/06/2017,45.081574,8.136791
5750,Piazza XX Settembre, 6,De Fina Michele S.N.C,,02665890303,33058,SAN GIORGIO DI NOGARO,01/07/2017,44.759285,8.791094
5751,Via Bersagliere, 27/a,Farmacia Gaion Favaretto S.N.C. Delle Dott.Sse Tiziana Gaion E Paola Favaretto,,02908040302,33061,TEOR,01/02/2018,40.798956,16.925825
5755,Via S. Margherita, 31,Vidale S.N.C,Eugenia Ed Efrem Vidale,01707910939,33098,ARZENE,01/07/2017,39.482689,8.906232
5760,Via G. Infanti, 15,Farmacia Borin S.N.C. Del Dott. Riccardo Arrighi E C.,,01249900935,33075,MORSANO AL TAGLIAMENTO,01/03/2018,46.51278,11.214268
5762,Via Principale, 11,Falzari S.N.C,Falzari Furio & Marcello,01798290936,33096,SAN MARTINO AL TAGLIAMENTO,01/07/2017,46.016877,12.863622
5768,Via Umberto I, 39,Fioretti Francesco S.A.S,,-,33085,MANIAGO,01/07/2017,46.169506,12.704938
5769,Via Cavour 57,,Farmacia Della Torre Snc,,01768930933,33097,SPILIMBERGO,01/07/2018,37.357358,13.926923
5771,Via Giovanni Maria Fabricio, 17,Mazzilli Vincenzo,,07228840729,33090,CLAUZETTO,01/01/2012,46.229475,12.916
5776,Piazza Paolo da Bagellardo da Fiume, 2,Strazzolini S.A.S Di Loretta Strazzolini & C.,,01752820934,33080,FIUME VENETO,01/07/2017,44.910213,9.596699
5780,Viale Martelli, 40,Zardo Umberto,,01173310937,33170,PORDENONE,01/01/2005,45.95278,12.670242
5781,Piazza G. Micoli Toscano, 1,Molinari Franca,,01079070932,33080,ZOPPOLA,01/01/2005,45.967607,12.797666
5782,Viale Grigoletti, 71,S.Lorenzo Dott.Ssa Prezioso Anita,,02845600309,33170,PORDENONE,01/07/2017,45.973093,12.563694
5784,Via A. Gabelli, 4,Comunali Fvg Spa - Porcia,,01334360938,33080,PORCIA,01/02/2015,44.990245,7.46758
5788,Via Gemelli, 3,Madonna Delle Grazie,,01551010935,33170,PORDENONE,01/01/2005,43.132028,12.363224
5790,Via G. Mazzini, 7,Centrale Medina Anna Maria & C. S.A.S,,01768800938,33084,CORDENONS,01/07/2017,45.159383,10.195154
5791,Corso Vittorio Emanuele Ii, 35,Farmacia Rimondi S.R.L.,,01823380934,33170,PORDENONE,01/06/2018,45.955804,12.659791
5792,Via Mazzini, 11/a,Farmacia Zanetti S.A.S. Del Dott. Mario Zanetti,,01840060931,33081,AVIANO,01/05/2018,40.908176,14.511016
5794,Via D.Alighieri, 2,Poletti Giorgio,,01064830936,33070,BRUGNERA,01/03/2013,45.05372,9.608113
5795,via della Chiesa, 5 - VILLANOVA,Querini Amedeo,,01249730936,33080,PRATA DI PORDENONE,01/03/2013,45.862186,12.571504
5806,Piazza Garibaldi, 9,Sanson Rinaldo,,03081530267,33087,PASIANO DI PORDENONE,01/02/2015,45.874326,12.61224
5807,Via Ciotti, 57/a,Tre Effe & C. S.A.S,Francesca Fiori,01699770937,33086,MONTEREALE VALCELLINA,01/04/2013,46.157209,12.659927
5810,Via Roma, 6/B,De Pizzol Sandra,,03163390267,33099,VIVARO,01/04/2013,46.08474,12.787508
5814,Corso Vittorio Emanuele II, 21/e,Alla Fede Dott. De Toni Andrea,,01544980939,33170,PORDENONE,01/02/2015,45.957877,12.658927
5820,Via S. Lucia, 42/c,Godeas Cristina,,01382510939,33071,SESTO AL REGHENA,01/02/2015,45.869556,12.859863
5822,Via Grigoletti, 5,D'andrea Massimiliano,,01415060936,33074,FONTANAFREDDA,01/02/2015,45.972238,12.570626
5823,Via Carducci, 16,D'andrea Maurizio,,01417020938,33080,ROVEREDO IN PIANO,01/01/2008,40.069983,18.102802
5824,Via Dante, 51 - LESTANS,Nazzi Giancarlo,,02173780301,33090,SEQUALS,01/02/2015,37.432253,13.550795
5827,Piazza Manin, 11/12,Bechi Alberto,,01043990934,33077,SACILE,01/01/2008,45.95442,12.503196
5831,Corso Garibaldi, 26,Kossler Carlo,,01482420930,33170,PORDENONE,01/01/2005,45.960061,12.656979
18015,Piazza di Prampero B., 7/A,Comunale Di Tavagnacco S.R.L,,-,33010,TAVAGNACCO,01/04/2007,46.127767,13.214524
18503,Via Pradileva, 2,Moret Loretta,,04372280265,33090,TRAMONTI DI SOTTO,01/08/2010,44.264188,8.430025
18521,Corso Marconi, 10,Rutter,,02543740308,33040,CAMPOLONGO TAPOGLIANO,01/03/2013,45.86486,13.394727
18528,Via Mameli, 41,Comunale S. Michele,,00262850936,33077,SACILE,01/03/2015,37.027754,14.494045
18563,Via Buonarroti, 10,Corazza Rodolfo,,04385510260,34070,CAPRIVA DEL FRIULI,01/07/2017,38.665765,15.929231
18595,Localit� Paludea, 34,Boscarol Luigina,,01686900935,33090,CASTELNOVO DEL FRIULI,01/07/2017,46.201962,12.904347
18600,Via San Floriano, 6/1,Sarno Brunella,,-,33080,FRISANCO,01/05/2011,45.668158,9.442739
18631,Via Gen. Morozzo della Rocca, 5,Comunali Fvg Spa - Tamai,,01334360938,33070,BRUGNERA,01/02/2015,45.921578,12.575497
18637,Via Capoluogo, 147,Buonocore,,02668800309,33040,TAIPANA,01/07/2017,45.300831,7.466772
18641,Via Isola, 2,Fraternali,,02459330417,33010,MONTENARS,01/07/2017,46.255776,13.18061
18693,Fraz.Esemon di Sopra, 30/1,Patruno,,02705630305,33029,RAVEO,01/04/2013,45.918272,10.831946
19063,Piazza IV Novembre, 22,S.G.S. Di Franco Santi & C. S.N.C,,02828630307,33030,CAMPOFORMIDO,01/02/2016,44.077794,8.106069
19390,Viale Della Libert�, 41,Farmacia Liberta' Di Valdevit Giuseppina E Rocchini Eliana S.N.C.,,01815060932,33170,PORDENONE,01/07/2017,45.425724,10.114094
19391,Piazza Foraggi, 4/a,Farmacia Foraggi Snc Di Valeria Falagiani E C.,,01288000324,34138,TRIESTE,01/07/2017,45.640126,13.789479
19394,Piazza San Paolino, 9/4,Farmacia Alla Torre Antica Di Marina Flego E Anna Maria Musso S.N.C.,,02871810301,33050,POVOLETTO,01/07/2017,45.956498,13.227521
19395,Via Xxvii Febbraio 1511, 1,"Farmacia San Rocco S.N.C Delle Dott.Sse Bahous Jacqueline, Cristante Alice E Maniori Silvia",,01814540934,33078,SAN VITO AL TAGLIAMENTO,01/07/2017,44.869068,10.811565
19420,Via Unit� DItalia, 12,Farmacia Di Tauriano S.N.C.,,01815250939,33097,SPILIMBERGO,01/07/2017,46.074914,13.192036
